Wall time,Step,Value
1682787027.8432035,5,-0.029772605746984482
1682787047.7169666,18,-0.01876225136220455
1682787056.6361098,24,-0.02908308431506157
1682787080.3624256,40,-0.023065125569701195
1682787083.312298,42,-0.02020002156496048
1682787088.0667443,45,-0.025027554482221603
1682787091.0510187,47,-0.027447134256362915
1682787099.9350739,53,-0.02952536754310131
1682787104.37238,56,-0.028563955798745155
1682787126.739522,71,-0.03873767703771591
1682787131.26153,74,-0.037055570632219315
1682787138.7174735,79,-0.02810470201075077
1682787150.6473827,87,-0.028232110664248466
1682787161.1031315,94,-0.027177445590496063
1682787173.7400954,102,-0.02768147923052311
1682787178.6120248,105,-0.02074422873556614
1682787180.199287,106,-0.01849302090704441
1682787191.3404446,113,-0.025758245959877968
1682787211.8429878,126,-0.027095774188637733
1682787232.0912628,139,-0.017036210745573044
1682787249.0713813,150,-0.028315585106611252
1682787256.821897,155,-0.02159595489501953
1682787261.500815,158,-0.02846696972846985
1682787275.9557233,167,-0.02631830982863903
1682787277.528671,168,-0.025990989059209824
1682787293.270837,178,-0.019208984449505806
1682787301.226112,183,-0.0243036188185215
1682787304.4041262,185,-0.03016190230846405
1682787305.9592621,186,-0.02302716299891472
1682787312.3375418,190,-0.011787393130362034
1682787324.8056831,198,-0.02094980888068676
1682787337.3877044,206,-0.03322532773017883
1682787338.9850216,207,-0.026895277202129364
1682787346.8849592,212,-0.020258618518710136
1682787364.086261,223,-0.014650636352598667
1682787373.450253,229,-0.022872870787978172
1682787381.2975166,234,-0.021172650158405304
1682787386.027855,237,-0.029500147327780724
1682787405.431824,249,-0.024249166250228882
1682787415.019329,255,-0.020581763237714767
1682787423.1259825,260,-0.02937798760831356
1682787434.138312,267,-0.02795926108956337
1682787440.4705348,271,-0.020314659923315048
1682787443.6013093,273,-0.02366137132048607
1682787473.6254692,292,-0.020026247948408127
1682787481.499935,297,-0.01923270896077156
1682787483.026627,298,-0.016444094479084015
1682787490.9797456,303,-0.018317585811018944
1682787498.8545575,308,-0.02092890813946724
1682787501.9937592,310,-0.018421905115246773
1682787514.6043165,318,-0.028344493359327316
1682787516.2017882,319,-0.020192550495266914
1682787527.2557805,326,-0.016499947756528854
1682787533.5693614,330,-0.020192932337522507
1682787547.6914263,339,-0.027711085975170135
1682787560.9769077,347,-0.010298489592969418
1682787586.1587481,363,-0.011338180862367153
1682787592.5640295,367,-0.019429655745625496
1682787602.0552354,373,-0.012028701603412628
1682787608.4868329,377,-0.021363554522395134
1682787611.648883,379,-0.02366681583225727
1682787678.1750507,421,-0.019040163606405258
1682787679.7867212,422,-0.01814441755414009
1682787682.8986244,424,-0.01553503330796957
1682787692.4766514,430,-0.01954515464603901
1682787706.7665892,439,-0.021255040541291237
1682787710.009948,441,-0.01651923358440399
1682787711.588546,442,-0.01522328332066536
1682787716.3740957,445,-0.024845369160175323
1682787725.8444574,451,-0.020834146067500114
1682787740.1098378,460,-0.00852151308208704
1682787744.9062994,463,-0.0061806184239685535
1682787746.4323852,464,-0.017350848764181137
1682787763.0420237,474,-0.013186207972466946
1682787789.9569154,491,-0.016716303303837776
1682787793.164096,493,-0.02220233529806137
1682787815.5892105,507,-0.01060720719397068
1682787823.6782293,512,-0.014684990048408508
1682787826.8760393,514,-0.01640622690320015
1682787831.540857,517,-0.01028369925916195
1682787844.2107925,525,-0.019398780539631844
1682787853.8181813,531,-0.023491844534873962
1682787856.9701154,533,-0.02489750273525715
1682787861.73671,536,-0.023500526323914528
1682787871.3565798,542,-0.011658756993710995
1682787879.3191612,547,-0.02248103730380535
1682787895.2327535,557,-0.017774702981114388
1682787904.9181488,563,-0.021491525694727898
1682787914.3808987,569,-0.017254089936614037
1682787920.7059038,573,-0.02693904936313629
1682787930.2838025,579,-0.025518061593174934
1682787933.3990667,581,-0.021458638831973076
1682787935.0196795,582,-0.012835528701543808
1682787938.1710014,584,-0.019328758120536804
1682787941.2840095,586,-0.013523060828447342
1682787942.83952,587,-0.011945577338337898
1682787950.786383,592,-0.011540492065250874
1682787952.422758,593,-0.016784995794296265
1682787966.790884,602,-0.014494432136416435
1682787976.2248673,608,-0.025682510808110237
1682787979.4316928,610,-0.023791836574673653
1682787987.5044188,615,-0.01190210785716772
1682787995.489279,620,-0.024486539885401726
1682787998.6823192,622,-0.017023978754878044
1682788018.998875,634,-0.016811341047286987
1682788030.1440349,641,-0.012987378984689713
1682788031.758922,642,-0.022499440237879753
1682788034.976319,644,-0.021504033356904984
1682788038.1652842,646,-0.02383567951619625
1682788039.7140868,647,-0.01760440692305565
1682788042.9483922,649,-0.015588819980621338
1682788062.0278971,661,-0.030622223392128944
1682788066.879395,664,-0.016650453209877014
1682788073.3097084,668,-0.015357927419245243
1682788078.0221217,671,-0.020489688962697983
1682788082.900352,674,-0.02611604891717434
1682788089.295171,678,-0.02217814512550831
1682788090.9298253,679,-0.024542978033423424
1682788097.304051,683,-0.025248007848858833
1682788105.258579,688,-0.024790097028017044
1682788122.7121146,699,-0.02421906404197216
1682788129.0924525,703,-0.025133002549409866
1682788133.8840873,706,-0.02683389186859131
1682788146.8276167,714,-0.02368316240608692
1682788153.3064144,718,-0.02216401882469654
1682788158.1731076,721,-0.02384263090789318
1682788159.7849703,722,-0.01719246618449688
1682788161.3549454,723,-0.025652509182691574
1682788172.6438026,730,-0.01769096963107586
1682788182.2002797,736,-0.018024427816271782
1682788185.4430497,738,-0.006646641995757818
1682788187.0949416,739,-0.020362380892038345
1682788193.5839348,743,-0.01715105026960373
1682788200.0509467,747,-0.014740095473825932
1682788206.3976657,751,-0.030142102390527725
1682788208.0245695,752,-0.024808336049318314
1682788214.4195702,756,-0.025472819805145264
1682788228.7470925,765,-0.030210740864276886
1682788235.2349427,769,-0.0170593224465847
1682788236.8782916,770,-0.02383245900273323
1682788238.4444485,771,-0.027667291462421417
1682788241.5864332,773,-0.01842004619538784
1682788243.1586614,774,-0.017512908205389977
1682788252.8744452,780,-0.02456577494740486
1682788259.2373152,784,-0.018077725544571877
1682788260.7999074,785,-0.023288875818252563
1682788263.9725008,787,-0.0248048584908247
1682788267.1584632,789,-0.014940970577299595
1682788271.942263,792,-0.026925815269351006
1682788273.5164511,793,-0.024673322215676308
1682788275.1326292,794,-0.021014273166656494
1682788276.723629,795,-0.03667932748794556
1682788281.499957,798,-0.015417507849633694
1682788287.9510136,802,-0.026217659935355186
1682788295.8885143,807,-0.019490474835038185
1682788297.5325804,808,-0.025789543986320496
1682788299.159009,809,-0.028321431949734688
1682788309.9839885,815,-0.03110494092106819
1682788336.9908042,832,-0.02271062508225441
1682788343.352982,836,-0.023780398070812225
1682788346.4717512,838,-0.019809531047940254
1682788354.5055606,843,-0.01964574307203293
1682788392.9874487,867,-0.017130820080637932
1682788396.2449932,869,-0.021988162770867348
1682788404.1676292,874,-0.025040941312909126
1682788407.3551588,876,-0.021267114207148552
1682788414.0885055,880,-0.008536918088793755
1682788417.3000677,882,-0.020814573392271996
1682788430.1462493,890,-0.02748640812933445
1682788439.8254457,896,-0.019153058528900146
1682788446.303477,900,-0.021607300266623497
1682788457.7300892,907,-0.017466282472014427
1682788461.0805175,909,-0.01863948255777359
1682788470.8940675,915,-0.020141994580626488
1682788474.0725405,917,-0.024605924263596535
1682788478.8687265,920,-0.02713041752576828
1682788483.7027562,923,-0.02360668033361435
1682788496.6384678,931,-0.0178530253469944
1682788498.2910256,932,-0.017452536150813103
1682788503.2132096,935,-0.019122958183288574
1682788514.393965,942,-0.019693175330758095
1682788519.1273897,945,-0.023662636056542397
1682788533.6310112,954,-0.013754227198660374
1682788540.1093123,958,-0.023678990080952644
1682788544.9121,961,-0.01952224224805832
1682788546.5444643,962,-0.018009619787335396
1682788561.0556054,971,-0.01440869364887476
1682788562.6631672,972,-0.024088716134428978
1682788569.1615524,976,-0.019251681864261627
1682788572.414798,978,-0.021198712289333344
1682788574.056436,979,-0.015264146961271763
1682788580.5607157,983,-0.018811644986271858
1682788582.137258,984,-0.023665087297558784
1682788587.0495498,987,-0.023255446925759315
1682788588.6528704,988,-0.01847568340599537
1682788601.6270845,996,-0.015777703374624252
1682788608.1455183,1000,-0.024001512676477432
1682788611.4022408,1002,-0.021967578679323196
1682788614.6475668,1004,-0.02407374419271946
1682788616.251509,1005,-0.0228281170129776
1682788630.7734542,1014,-0.03441759571433067
1682788635.6694007,1017,-0.01704419031739235
1682788648.6699963,1025,-0.020059896633028984
1682788651.8714497,1027,-0.017302464693784714
1682788660.0700872,1032,-0.02351091057062149
1682788668.4334369,1037,-0.015276516787707806
1682788679.7556467,1044,-0.029737351462244987
1682788702.3631623,1057,-0.02002512663602829
1682788712.1334825,1063,-0.019129613414406776
1682788717.0649838,1066,-0.021971460431814194
1682788720.3779469,1068,-0.0210020262748003
1682788726.907055,1072,-0.014757785014808178
1682788733.3629985,1076,-0.028096536174416542
1682788736.6013799,1078,-0.020087052136659622
1682788744.8153656,1083,-0.009395483881235123
1682788746.4711177,1084,-0.024608565494418144
1682788748.062895,1085,-0.032446227967739105
1682788761.0482693,1093,-0.010920667089521885
1682788770.8741806,1099,-0.024150425568223
1682788777.4479604,1103,-0.021916376426815987
1682788779.129398,1104,-0.0334676094353199
1682788780.7618098,1105,-0.016620198264718056
1682788795.428881,1114,-0.006685145199298859
1682788803.4870114,1119,-0.023159170523285866
1682788826.465728,1133,-0.019608663395047188
1682788829.7589426,1135,-0.019334828481078148
1682788862.5408983,1155,-0.024340534582734108
1682788864.1419134,1156,-0.023566624149680138
1682788870.655447,1160,-0.01910790242254734
1682788872.3226967,1161,-0.026921827346086502
1682788873.9365878,1162,-0.023414423689246178
1682788903.6317298,1180,-0.02406879886984825
1682788911.7940946,1185,-0.0243011936545372
1682788923.3917193,1192,-0.016086982563138008
1682788925.0725386,1193,-0.019697075709700584
1682788935.0176,1199,-0.022244783118367195
1682788938.1993923,1201,0.11551850289106369
1682788946.3759122,1206,-0.020497526973485947
1682788949.6570015,1208,-0.020254237577319145
1682788989.2076664,1232,-0.01660371758043766
1682788992.5211298,1234,-0.019004134461283684
1682788995.82618,1236,-0.018814507871866226
1682789008.9135153,1244,-0.017532724887132645
1682789013.8817613,1247,-0.024635786190629005
1682789027.1044137,1255,-0.02906964160501957
1682789032.0851166,1258,-0.022747471928596497
1682789037.031399,1261,-0.015086667612195015
1682789058.3994532,1274,-0.015545487403869629
1682789069.960393,1281,-0.01927090808749199
1682789079.8764129,1287,-0.022916598245501518
1682789089.7760582,1293,-0.015789275988936424
1682789091.396383,1294,-0.02426338940858841
1682789101.3595495,1300,-0.017457595095038414
1682789117.897333,1310,-0.023575222119688988
1682789126.0822308,1315,-0.02242586947977543
1682789127.7931008,1316,-0.023137234151363373
1682789132.8687997,1319,-0.014494945295155048
1682789142.8599384,1325,-0.032191284000873566
1682789146.1817336,1327,-0.0269253421574831
1682789151.1619081,1330,-0.023954184725880623
1682789156.1978304,1333,-0.022064531221985817
1682789161.1159823,1336,-0.023994233459234238
1682789162.6780329,1337,-0.02655443549156189
1682789194.3854253,1355,-0.013713812455534935
1682789219.3870075,1370,-0.03198276087641716
1682789244.0161216,1385,-0.02655368112027645
1682789248.8800907,1388,-0.021468035876750946
1682789250.4695373,1389,-0.02604321390390396
