Wall time,Step,Value
1683035661.539191,2196,-0.03078303672373295
1683035666.9238346,2199,-0.03853655233979225
1683035681.1629891,2207,-0.04074227064847946
1683035688.183882,2211,-0.03857721760869026
1683035723.2941039,2231,-0.033742547035217285
1683035731.9447615,2236,-0.03338440880179405
1683035733.683248,2237,-0.0416802316904068
1683035737.1555436,2239,-0.033201370388269424
1683035742.449869,2242,-0.040309637784957886
1683035749.54896,2246,-0.02586868405342102
1683035751.2975268,2247,-0.04352115839719772
1683035763.7410386,2254,-0.04284314438700676
1683035769.1270905,2257,-0.03873174265027046
1683035778.0873744,2262,-0.04026369750499725
1683035811.644814,2281,-0.032976679503917694
1683035829.478782,2291,-0.037732671946287155
1683035840.1750026,2297,-0.023004185408353806
1683035850.8609512,2303,-0.03854694962501526
1683035857.986644,2307,-0.02878236398100853
1683035879.4472766,2319,-0.033283781260252
1683035881.2457128,2320,-0.03207138180732727
1683035925.5299325,2345,-0.03597746044397354
1683035941.5900745,2354,-0.03307155892252922
1683036004.0767722,2389,-0.028759630396962166
1683036005.8372276,2390,-0.03427056223154068
1683036009.471905,2392,-0.03506844863295555
1683036089.0982666,2436,-0.02889535203576088
1683036103.4597197,2444,-0.051103148609399796
1683036116.154618,2451,-0.029025020077824593
1683036119.8192515,2453,-0.032811958342790604
1683036123.4972005,2455,-0.047367293387651443
1683036132.5501096,2460,-0.03950423374772072
1683036180.9985151,2485,-0.025070251896977425
1683036182.7336292,2486,-0.042394209653139114
1683036200.9032025,2496,-0.030472155660390854
1683036204.598837,2498,-0.032031748443841934
1683036213.6446009,2503,-0.024301575496792793
1683036239.0400155,2517,-0.03545335307717323
1683036249.8687162,2523,-0.029580989852547646
1683036266.203934,2532,-0.03093108721077442
1683036293.706037,2547,-0.03349844738841057
1683036301.0539439,2551,-0.031423419713974
1683036304.714324,2553,-0.008386124856770039
1683036350.7675898,2578,-0.03987719118595123
1683036372.9549572,2590,-0.032201867550611496
1683036391.5978258,2600,-0.03066154755651951
1683036402.8630292,2606,-0.04488319158554077
1683036434.6601527,2623,-0.024422165006399155
1683036445.975447,2629,-0.03450207784771919
1683036447.901519,2630,-0.03549272567033768
1683036473.9187527,2644,-0.013904791325330734
1683036485.0338712,2650,-0.035986218601465225
1683036494.3822062,2655,-0.03703245148062706
1683036536.9734697,2678,-0.038817159831523895
1683036549.8061924,2685,-0.02579294703900814
1683036559.0934525,2690,-0.036224115639925
1683036583.4257681,2703,-0.031751371920108795
1683036596.3345206,2710,-0.02863903157413006
1683036624.3047876,2725,-0.037538792937994
1683036646.8516042,2737,-0.04165446013212204
1683036652.4848237,2740,-0.03611672669649124
1683036678.8127103,2754,-0.04039180651307106
1683036746.5812032,2789,-0.023436609655618668
1683036748.92698,2790,-0.03615040332078934
1683036750.8002946,2791,-0.025020889937877655
1683036786.6366756,2809,-0.04126451537013054
1683036815.7272534,2824,0.010215564630925655
1683036913.5706472,2872,-0.035482171922922134
1683036931.2086086,2881,-0.03876348212361336
1683036948.7952955,2890,-0.027881920337677002
1683036960.5879278,2896,-0.023721423000097275
1683037002.0291264,2917,-0.039137326180934906
1683037005.9671957,2919,-0.026993278414011
1683037007.9073775,2920,-0.032042957842350006
1683037101.235163,2967,-0.018986651673913002
1683037117.379727,2975,-0.035559143871068954
1683037163.3154922,2998,-0.037087175995111465
1683037181.4255447,3007,-0.041620444506406784
1683037189.503285,3011,-0.04446505010128021
1683037197.5991418,3015,-0.03247951343655586
1683037221.7603116,3027,-0.02421562746167183
1683037227.6271145,3030,-0.028347769752144814
1683037243.8130991,3038,-0.029620928689837456
1683037249.8975897,3041,-0.03289612755179405
1683037298.490988,3065,-0.038451679050922394
1683037306.6404846,3069,-0.04533862695097923
1683037310.737881,3071,-0.03644152730703354
1683037368.0908778,3099,-0.030958767980337143
1683037419.2162642,3122,-0.03815213218331337
1683037450.010837,3137,-0.03104485757648945
1683037466.554395,3145,-0.031135931611061096
1683037476.914285,3150,-0.026946766301989555
1683037487.3572862,3155,-0.030522720888257027
1683037500.1537943,3161,-0.04018460586667061
1683037533.2076318,3177,-0.015775110572576523
1683037570.4928062,3195,-0.0368909016251564
1683037572.6317766,3196,-0.0468217171728611
1683037587.1881745,3203,-0.03693091496825218
1683037593.3579562,3206,-0.0431554801762104
1683037643.6541562,3230,-0.03681490570306778
1683037650.0215416,3233,-0.04142235964536667
1683037664.7333133,3240,-0.033364612609148026
1683037671.0816278,3243,-0.04605242237448692
1683037673.19592,3244,-0.04165462777018547
1683037677.47707,3246,-0.042573679238557816
1683037679.615196,3247,-0.033636681735515594
1683037732.4302592,3272,-0.0368177555501461
1683037751.6097674,3281,-0.029479941353201866
1683037802.8709548,3305,-0.038650110363960266
1683037819.8183227,3313,-0.034005649387836456
1683037849.8841724,3327,-0.028021574020385742
1683037852.061143,3328,-0.037087347358465195
1683037888.9059253,3345,-0.031081950291991234
1683037953.2057824,3374,-0.03850194066762924
1683037957.6553082,3376,-0.029199237003922462
1683037980.0178635,3386,-0.036744747310876846
1683038018.269121,3403,-0.031707003712654114
1683038029.4743907,3408,-0.033447686582803726
1683038079.1150522,3430,-0.03480333089828491
1683038097.1827757,3438,-0.046908847987651825
1683038121.9682112,3449,-0.039584655314683914
1683038126.4474275,3451,-0.029221896082162857
1683038142.29818,3458,-0.04753480106592178
1683038155.9036946,3464,-0.03978990390896797
1683038171.7139542,3471,-0.03899119049310684
1683038185.2939634,3477,-0.037900883704423904
1683038192.2654495,3480,-0.03550819307565689
1683038230.8065574,3497,-0.037467874586582184
1683038258.8839538,3509,-0.0395720936357975
1683038265.7047546,3512,-0.03467714414000511
1683038281.5820987,3519,-0.03708424046635628
1683038317.9424686,3535,-0.0419614240527153
1683038322.4729817,3537,-0.029264552518725395
1683038336.1529644,3543,-0.030373254790902138
1683038345.3716812,3547,-0.005984852090477943
1683038382.3158927,3563,-0.04539463669061661
1683038421.2225523,3580,-0.035642702132463455
1683038467.113048,3600,-0.003029262414202094
1683038508.9966803,3618,-0.03821270540356636
1683038513.64432,3620,-0.03403615951538086
1683038518.2759006,3622,-0.03961296007037163
1683038525.223587,3625,-0.02446839213371277
1683038532.1446939,3628,-0.04352755844593048
1683038571.5002306,3645,-0.041863564401865005
1683038597.0059986,3656,-0.04297757148742676
1683038629.569604,3670,-0.04453405737876892
1683038699.4554608,3700,-0.03848624229431152
1683038704.150117,3702,-0.034017033874988556
1683038760.7245128,3726,-0.03668411448597908
1683038770.2276378,3730,-0.04807337373495102
1683038774.9296753,3732,-0.024026159197092056
1683038789.3388698,3738,-0.020956747233867645
1683038796.627488,3741,-0.04058096185326576
1683038801.524558,3743,-0.04211658984422684
1683038822.8083818,3752,-0.04053083807229996
1683038839.4006028,3759,-0.035220447927713394
1683038870.432442,3772,-0.030409984290599823
1683038889.6344597,3780,-0.034470584243535995
1683038920.870245,3793,-0.04330727085471153
1683038925.6495633,3795,-0.0481538400053978
1683038932.8912005,3798,-0.03863506019115448
1683038971.4605436,3814,-0.024226760491728783
1683038983.504849,3819,-0.04975404590368271
1683038988.328694,3821,-0.030831018462777138
1683039012.5395417,3831,-0.03465721383690834
1683039022.240296,3835,-0.03892185166478157
1683039092.8676958,3864,-0.03597022965550423
1683039105.062612,3869,-0.0318935327231884
1683039122.066493,3876,-0.04767796769738197
1683039234.6082542,3920,-0.05010346695780754
1683039254.2817695,3928,-0.033082619309425354
1683039271.4781034,3935,-0.027785154059529305
1683039281.31013,3939,-0.04903579130768776
1683039308.2888412,3950,-0.042417947202920914
1683039323.0822542,3956,-0.04341597855091095
1683039337.7879264,3962,-0.032745491713285446
1683039391.91401,3984,-0.03391032665967941
1683039419.155937,3995,-0.029431046918034554
1683039431.4329906,4000,-0.01674840785562992
1683039453.7580454,4009,-0.033968597650527954
1683039456.229036,4010,-0.03624457120895386
1683039485.9123495,4022,-0.02334589697420597
1683039513.075226,4033,-0.050783321261405945
1683039520.5461776,4036,-0.04860491305589676
1683039545.3508618,4046,-0.02757292240858078
1683039663.2103295,4093,-0.04270953685045242
1683039675.6998718,4098,-0.031007712706923485
1683039678.2207978,4099,-0.03410191833972931
1683039703.1952772,4109,-0.04064593464136124
1683039887.1316621,4182,-0.03897499293088913
1683039915.0692444,4193,-0.03099415823817253
1683039917.5940385,4194,-0.038534775376319885
1683039922.6584315,4196,-0.0295771062374115
1683039927.7263885,4198,-0.030692433938384056
1683039935.3118086,4201,-0.04591449350118637
1683039937.8275378,4202,-0.04490514099597931
