Wall time,Step,Value
1682861381.6594846,18,-0.03950637951493263
1682861459.5402417,15,-0.02519184909760952
1682861463.9287596,18,-0.041536275297403336
1682861479.945369,29,-0.03941548988223076
1682861501.7764137,44,-0.036286234855651855
1682861506.128859,47,-0.02805127575993538
1682861535.1468408,67,-0.050194643437862396
1682861626.3262157,128,-0.0266686100512743
1682861631.0497427,131,-0.03795533627271652
1682861644.9336407,140,-0.028257163241505623
1682861743.7123518,202,-0.024065624922513962
1682861751.594322,207,-0.033738479018211365
1682861783.6418998,228,-0.022589797154068947
1682861791.254655,233,-0.027528835460543633
1682861802.4820404,240,-0.027680126950144768
1682861811.6648352,246,-0.03293905034661293
1682861865.1431038,281,-0.03127654269337654
1682861868.2409961,283,-0.039987992495298386
1682861880.4359908,291,-0.03263097256422043
1682861924.8745193,320,-0.024219881743192673
1682861956.6765096,340,-0.022421009838581085
1682862039.7702131,394,-0.023112131282687187
1682862041.32023,395,-0.013855835422873497
1682862072.2798223,415,-0.027529383078217506
1682862100.5035498,433,-0.02637260966002941
1682862122.8208249,447,-0.034298453480005264
1682862218.763399,509,-0.027353834360837936
1682862261.026899,536,-0.0260082446038723
1682862286.026163,552,-0.026979045942425728
1682862296.7533317,559,-0.028070801869034767
1682862298.2499602,560,-0.018339570611715317
1682862350.4022107,593,-0.03498915955424309
1682862372.1713972,607,-0.021060118451714516
1682862384.5710828,615,-0.02521514892578125
1682862392.4625225,620,-0.020053425803780556
1682862395.5397348,622,-0.028227586299180984
1682862414.30831,634,-0.023770850151777267
1682862430.047741,644,-0.03409755975008011
1682862497.575693,687,-0.024684904143214226
1682862510.1079419,695,-0.031688570976257324
1682862522.7389462,703,-0.027336953207850456
1682862563.7357204,729,-0.030374018475413322
1682862577.978143,738,-0.02132383920252323
1682862584.425208,742,-0.025320248678326607
1682862587.581539,744,-0.027527600526809692
1682862610.0087638,758,-0.023839600384235382
1682862614.21139,760,-0.02039121463894844
1682862625.2720916,767,-0.032603200525045395
1682862638.128728,775,-0.030605435371398926
1682862647.6410856,781,-0.02871437557041645
1682862692.3791907,809,-0.023290371522307396
1682862810.56396,882,-0.010126275941729546
1682862864.916676,915,-0.018221983686089516
1682862869.7872682,918,-0.03283723443746567
1682862897.8150034,935,-0.03154854476451874
1682862912.554802,944,-0.032712072134017944
1682862914.2449093,945,-0.026230067014694214
1682862924.179539,951,-0.02600417286157608
1682862925.886925,952,-0.027546482160687447
1682862934.3269227,957,-0.03688245266675949
1682862965.3147247,975,-0.024808719754219055
1682862970.3897285,978,-0.024970289319753647
1682862985.4542813,987,-0.031449705362319946
1682863067.6047153,1036,-0.032227061688899994
1682863072.761195,1039,-0.027004282921552658
1682863082.9330382,1045,-0.025277746841311455
1682863093.2004025,1051,-0.02747482620179653
1682863118.8635223,1066,-0.03208008036017418
1682863129.0586476,1072,-0.02568306028842926
1682863137.588318,1077,-0.022543486207723618
1682863227.5272005,1129,-0.022218359634280205
1682863236.2679894,1134,-0.035538945347070694
1682863237.9674933,1135,-0.021577993407845497
1682863269.3217044,1153,-0.03583701327443123
1682863292.0911584,1166,-0.04230529069900513
1682863314.9323735,1179,-0.028022464364767075
1682863381.9499338,1217,-0.024037575349211693
1682863411.943545,1234,-0.018582971766591072
1682863449.6674502,1254,-0.043260667473077774
1682863513.2633162,1289,-0.02050778642296791
1682863518.7336762,1292,-0.03536621108651161
1682863544.134087,1306,-0.03130584582686424
1682863551.360651,1310,-0.02289033681154251
1682863639.9391751,1358,-0.03166230767965317
1682863652.9272602,1365,-0.04191908240318298
1682863693.6644406,1387,-0.030539432540535927
1682863716.0043507,1399,-0.02562195435166359
1682863734.6701646,1409,-0.03717155382037163
1682863791.2675683,1439,-0.02534266747534275
1682863812.102398,1450,-0.037424661219120026
1682863827.419617,1458,-0.022978397086262703
1682863838.9385755,1464,-0.034134719520807266
1682863900.1442206,1496,-0.040053609758615494
1682863907.8232033,1500,-0.039944443851709366
1682863955.8761046,1525,-0.034145504236221313
1682863986.7410264,1541,-0.02790406346321106
1682863988.729834,1542,-0.03489396721124649
1682864017.5240767,1557,-0.03141224384307861
1682864025.313982,1561,-0.03701772168278694
1682864060.2617044,1578,-0.031884245574474335
1682864128.2921057,1613,-0.033099185675382614
1682864144.1126616,1621,-0.03581161051988602
1682864211.2811508,1655,-0.025810949504375458
1682864229.1363838,1664,-0.026151910424232483
1682864241.071265,1670,-0.026153402402997017
1682864251.1395378,1675,-0.035162098705768585
1682864265.2275543,1682,-0.035494666546583176
1682864283.2698326,1691,-0.03288666531443596
1682864310.9262123,1705,-0.03044138476252556
1682864314.9134464,1707,-0.02988748997449875
1682864320.9659324,1710,-0.03490062057971954
1682864339.257914,1719,-0.028822138905525208
1682864410.1544988,1754,-0.030504364520311356
1682864458.7739718,1778,-0.04065418988466263
1682864501.19725,1799,-0.029699591919779778
1682864537.9456103,1817,-0.036291204392910004
1682864556.3079271,1826,-0.033202700316905975
1682864582.8158238,1839,-0.029729997739195824
1682864588.9755242,1842,-0.03722367435693741
1682864605.2173316,1850,-0.036911845207214355
1682864687.3518126,1890,-0.033009979873895645
1682864721.8989866,1907,-0.025296324864029884
1682864742.391442,1917,-0.04243781417608261
1682864748.4192348,1920,-0.027900168672204018
1682864789.3735127,1940,-0.033565882593393326
1682864822.4673197,1956,-0.031326450407505035
1682864863.2757561,1974,-0.02625626139342785
1682864889.7612283,1986,-0.03965593874454498
1682864927.1841936,2003,-0.05012166127562523
1682864940.3968878,2009,-0.03737117722630501
1682864993.3969464,2033,-0.04145486652851105
1682865022.0481932,2046,-0.040298942476511
1682865028.7110445,2049,-0.032937370240688324
